date,semaine,seance,duree_min,distance_km
2025-10-14,1,S1E1,31.98,3.77
2025-10-17,1,S1E2,42.37,4.93
2025-10-19,1,S1E3,51.82,5.03
2025-10-21,2,S2E1,48.70,4.50
2025-10-23,2,S2E2,60.20,6.07
2025-10-25,2,S2E3,62.33,6.17
2025-10-27,3,S3E1,58.75,5.77
2025-10-31,3,S3E2,68.83,6.37
2025-11-02,3,S3E3,60.10,6.48
2025-11-04,4,S4E1,53.80,5.82
2025-11-06,4,S4E2,78.33,8.50
2025-11-09,4,S4E3,61.05,6.74
2025-11-11,5,S5E1,52.53,5.70
2025-11-13,5,S5E2,61.00,6.53
2025-11-16,5,S5E3,65.00,7.27
2025-11-18,6,S6E1,69.00,8.22
2025-11-20,6,S6E2,54.13,6.30
2025-11-23,6,S6E3,75.00,8.27
2025-11-25,7,S7E1,80.00,9.20
2025-11-27,7,S7E2,56.00,7.72
2025-11-30,7,S7E3,78.57,9.67
2025-12-02,8,S8E1,60.07,7.13
2025-12-06,8,S8E2,47.12,6.36
2025-12-08,9,S9E1,69.53,8.17
2025-12-09,9,S9E2,67.33,7.86
2025-12-13,9,S9E3,42.06,5.68
2025-12-15,10,S10E1,88.04,10.19
2025-12-17,10,S10E2,62.77,7.67
2025-12-20,10,S10E3,45.57,5.62
2025-12-22,11,S11E1,74.22,9.00
2025-12-24,11,S11E2,44.55,5.63
2025-12-24,11,S11E3,64.42,7.69
2025-12-30,12,S12E1,85.32,10.51
2026-01-02,12,S12E2,52.46,6.44
